ORIGINAL LABEL,OTT TAXON NAME,OTT TAXON ID,TAXONOMIC SOURCES
Drosophila acanthoptera,Drosophila acanthoptera,963944,ncbi:51166;gbif:5074270;irmng:10790777
Drosophila adamsi,Drosophila adamsi,4418979,ncbi:309933;gbif:5075115;irmng:10123076
Drosophila adiastola,Drosophila adiastola,607962,ncbi:7261;gbif:7885722;irmng:10123079
Drosophila adunca,Drosophila adunca,97932,ncbi:46893;gbif:5073583
Drosophila affinis,Drosophila affinis,660819,ncbi:7246;gbif:5074900
Drosophila albomicans,Drosophila albomicans,930765,ncbi:7291;gbif:5073538;irmng:11125768
Drosophila aldrichi,Drosophila aldrichi,975460,ncbi:169138;gbif:5074942;irmng:10095065
Drosophila ambigua,Drosophila ambigua,34910,ncbi:7216;gbif:5073434;irmng:10711200
Drosophila americana,Drosophila americana,534107,ncbi:40366;gbif:5074924
Drosophila ananassae,Drosophila ananassae,34911,ncbi:7217;gbif:5074849;irmng:10095481
Drosophila anceps,Drosophila anceps,888517,ncbi:302448;gbif:5073491;irmng:11205832
Drosophila anomalipes,Drosophila anomalipes,361370,ncbi:504576;gbif:5074916;irmng:10123092
Drosophila arizonae,Drosophila arizonae,607965,ncbi:7263;gbif:5074701;irmng:10563192
Drosophila athabasca,Drosophila athabasca,660834,ncbi:7248;gbif:5073487
Drosophila atroscutellata,Drosophila atroscutellata,335367,ncbi:937262;gbif:5074132;irmng:10444574
Drosophila auraria,Drosophila auraria,787961,ncbi:47315;gbif:5074954;irmng:10125290
Drosophila austrosaltans,Drosophila austrosaltans,223734,ncbi:72469;gbif:5074904;irmng:11146351
Drosophila azteca,Drosophila azteca,660833,ncbi:7249;gbif:5074794;irmng:10094712
Drosophila bakoue,Drosophila bakoue,661519,ncbi:30018;gbif:5074288;irmng:10899576
Drosophila biarmipes,Drosophila biarmipes,956240,ncbi:125945;gbif:5073956;irmng:11098409
Drosophila bifasciata,Drosophila bifasciata,34895,ncbi:7218;gbif:5074716;irmng:10910597;irmng:11348046
Drosophila bifurca,Drosophila bifurca,546366,ncbi:77772;gbif:5074894;irmng:10446102
Drosophila bipectinata,Drosophila bipectinata,733212,ncbi:42026;gbif:5074478;irmng:10125294
Drosophila bocquetti,Drosophila bocqueti,440071,ncbi:74549;gbif:5073524;irmng:10125296
Drosophila borealis,Drosophila borealis,1022764,ncbi:40368;gbif:5074880;irmng:10562377
Drosophila brachynephros,Drosophila brachynephros,475932,ncbi:106246;gbif:5073568;irmng:10125890
Drosophila busckii,Drosophila busckii,661518,ncbi:30019;gbif:5073476;irmng:10095256
Drosophila buzzatti,Drosophila buzzatii,607957,ncbi:7264;gbif:5075111;irmng:10679074
Drosophila camargoi,Drosophila camargoi,218757,ncbi:30020;gbif:5075016;irmng:10566937
Drosophila canalinea,Drosophila canalinea,340391,ncbi:141216;gbif:5074108;irmng:10652990
Drosophila cardini,Drosophila cardini,901250,ncbi:133981;gbif:5074790;irmng:10562378
Drosophila clavisetae,Drosophila clavisetae,4420335,ncbi:48314;gbif:5074403
Drosophila comatifemora,Drosophila comatifemora,361374,ncbi:504578;gbif:5074305;irmng:10905093
Drosophila cracens,Drosophila cracens,909930,ncbi:937273;gbif:5074077;irmng:10561998
Drosophila crucigera,Drosophila crucigera,63113,ncbi:46822;gbif:5074030;irmng:10753305
Drosophila diamphidiopoda,Drosophila diamphidiopoda,909934,ncbi:937275;gbif:5074572;irmng:11070346
Drosophila dissita,Drosophila dissita,909937,ncbi:937276;gbif:5074594;irmng:10904835
Drosophila elegans,Drosophila elegans,218759,ncbi:30023;gbif:5073640;irmng:11005301
Drosophila ellisoni,Drosophila ellisoni,103919,ncbi:170950;gbif:5074449
Drosophila emarginata,Drosophila emarginata,218754,ncbi:30024;gbif:5073489;irmng:10125085
Drosophila engyochracea,Drosophila engyochracea,616772,ncbi:46797;gbif:5075095;irmng:10124360
Drosophila eohydei,Drosophila eohydei,793530,ncbi:54075;gbif:5075065;irmng:11375513
Drosophila equinoxialis,Drosophila equinoxialis,616771,ncbi:46790;gbif:5074627;irmng:11261622;irmng:11255686
Drosophila ercepeae,Drosophila ercepeae,717853,ncbi:42063;gbif:5074229;irmng:11205753
Drosophila erecta,Drosophila erecta,505707,ncbi:7220;gbif:5074045;irmng:11036481
Drosophila eremophila,Drosophila eremophila,794702,ncbi:209067;gbif:5075147;irmng:10570118
Drosophila eugracilis,Drosophila eugracilis,431225,ncbi:29029;gbif:5073629;irmng:10960966
Drosophila ezoana,Drosophila ezoana,787959,ncbi:47313;gbif:5074073;irmng:11036837
Drosophila fasciculisetae,Drosophila fasciculisetae,927155,ncbi:46823;gbif:5074148;irmng:11111926
Drosophila ficusphila,Drosophila ficusphila,218755,ncbi:30025;gbif:5074761;irmng:10125086
Drosophila flavibasis,Drosophila flavibasis,93072,ncbi:504582;gbif:5074845;irmng:10908662
Drosophila flavomontana,Drosophila flavomontana,534108,ncbi:40367;gbif:5074645;irmng:10095071
Drosophila funebris,Drosophila funebris,505706,ncbi:7221;gbif:5074589;irmng:10195622;irmng:10796489
Drosophila fungiperda,Drosophila fungiperda,895038,ncbi:251465;gbif:5074391;irmng:10563624
Drosophila gibberosa,Drosophila gibberosa,218751,ncbi:30029;gbif:5074159;irmng:10959535
Drosophila glabriapex,Drosophila glabriapex,194377,ncbi:48348;gbif:5074068;irmng:10425599
Drosophila grimshawi,Drosophila grimshawi,505708,ncbi:7222;gbif:5073981;gbif:5074332;irmng:11336409;irmng:11345430
Drosophila guanche,Drosophila guanche,607961,ncbi:7266;gbif:5074968;irmng:10120329;irmng:10106363
Drosophila guttifera,Drosophila guttifera,578171,ncbi:66368;gbif:5074574;irmng:11087760
Drosophila hawaiiensis,Drosophila hawaiiensis,434300,ncbi:46435;gbif:5073698;irmng:10125013
Drosophila helvetica,Drosophila helvetica,916031,ncbi:77129;gbif:5074565;irmng:10755186
Drosophila hemipzera,Drosophila hemipeza,876375,ncbi:46800;gbif:5073664;irmng:10797872
Drosophila heteroneura,Drosophila heteroneura,32496,ncbi:32382;gbif:5074647;irmng:10754656
Drosophila histrio,Drosophila histrio,746889,ncbi:198718;gbif:5073460;irmng:10125019
Drosophila hydei,Drosophila hydei,505712,ncbi:7224;gbif:5074534;irmng:11003696;irmng:10444315;irmng:10125069
Drosophila imaii,Drosophila imaii,456798,ncbi:44481;gbif:5074145;irmng:11296941
Drosophila immigrans,Drosophila immigrans,138600,ncbi:7250;gbif:7836194;irmng:10094950
Drosophila insularis,Drosophila insularis,616769,ncbi:46792;gbif:5073639;irmng:11228464
Drosophila kambysellisi,Drosophila kambysellisi,93079,ncbi:504587;gbif:5074670;irmng:10450583
Drosophila kanekoi,Drosophila kanekoi,1086847,ncbi:50033;gbif:5074655;irmng:10887819
Drosophila kepulauana,Drosophila kepulauana,412615,ncbi:88882;gbif:5074022;irmng:11122082
Drosophila kikkawai,Drosophila kikkawai (species in domain Eukaryota),793217,ncbi:30033;gbif:5073749;irmng:11064870
Drosophila kitumensis,Drosophila kitumensis,355244,ncbi:7280;gbif:5074370;irmng:10104863
Drosophila kohkoa,Drosophila kohkoa,412614,ncbi:88883;gbif:5074362;irmng:11146655
Drosophila kualapa,Drosophila kualapa,1062062,ncbi:937295;gbif:5074801
Drosophila lacertosa,Drosophila lacertosa,1060027,ncbi:119604;gbif:5074414;irmng:10850317
Drosophila lacicola,Drosophila lacicola,1022765,ncbi:40369;gbif:5074420;irmng:10931930
Drosophila latifasciaeformis,Scaptodrosophila latifasciaeformis,793225,ncbi:30034;gbif:1561912
Drosophila leonis,Drosophila leonis,794691,ncbi:209068;gbif:5073464;irmng:10570781
Drosophila limensis,Drosophila limensis,546367,ncbi:77774;gbif:5074920;irmng:10567482
Drosophila littoralis,Drosophila littoralis,787962,ncbi:47316;gbif:5074005;irmng:11336335
Drosophila lummei,Drosophila lummei,12791,ncbi:40371;gbif:5073896;irmng:10125393
Drosophila maderiensis,Drosophila madeirensis,844168,ncbi:30013;gbif:5075029;irmng:10103744
Drosophila mauritiana,Drosophila mauritiana,505718,ncbi:7226;gbif:5074331;irmng:10569156
Drosophila mayaguana,Drosophila mayaguana,607953,ncbi:7268;gbif:5074285
Drosophila melanica,Drosophila melanica,138602,ncbi:7252;gbif:5074279;irmng:10094953
Drosophila melanocephala,Drosophila melanocephala,876379,ncbi:46804;gbif:5074770;irmng:10124637
Drosophila melanogaster,Drosophila melanogaster,505714,ncbi:7227;worms:987722;gbif:5073712;gbif:5073713;irmng:10715446;irmng:11341030;irmng:10483750;irmng:10566400;irmng:10717699;irmng:11036842;irmng:10121502
Drosophila mercatorum,Drosophila mercatorum,138603,ncbi:7253;gbif:5074215;irmng:10715198;irmng:10994612
Drosophila merina,Drosophila merina,751071,ncbi:300357;gbif:5074067;irmng:11146376
